rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id
82,"Seven (feat. Latto) (Explicit Ver.)
Jung Kook, Latto",1,71.0,138,11360421,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",183550,True,False,2023-11-03,6HaGTQPmzraVmaVxvz6EUc,2HRgqmZQC0MC7GeNuDIXHN
83,"Dance With Me
Bruno Mars",83,,1,11345856,Dance With Me,Bruno Mars,219287,False,False,2026-02-27,0du5cEVh5yTK9QJze8zA0C,1myZ6GQewhAzMH2dKtKSWK
84,"Billie Jean
Michael Jackson",48,95.0,32,11275762,Billie Jean,Michael Jackson,293802,False,False,1982-11-30,3fMbdgg4jU18AjLCKBhRSm,7J1uxwnxfQLu4APicE5Rnj
85,"kota ini tak sama tanpamu
Nadhif Basalamah",48,67.0,9,11254940,kota ini tak sama tanpamu,Nadhif Basalamah,279649,False,False,2025-06-20,6UgERnTHmjk3qXM9x5vzyO,13CwOTXUgBugeBByE9oIWb
86,"The Night We Met
Lord Huron",15,98.0,138,11131031,The Night We Met,Lord Huron,208226,False,False,2015-04-07,6ltzsmQQbmdoHHbLZ4ZN25,5yJaXWIErrrsjQ3J0eR5aK
87,"daño
Peso Pluma, Tito Double P",32,102.0,10,11125907,daño,"Peso Pluma, Tito Double P",197007,True,False,2025-12-25,12GqGscKJx3aE4t07u7eVZ,136BeIIoBGrrU9fI1jbcDR
88,"Just the Way You Are
Bruno Mars",34,89.0,10,11104954,Just the Way You Are,Bruno Mars,220734,False,False,2010-05-11,0du5cEVh5yTK9QJze8zA0C,7BqBn9nzAq8spo5e7cZ0dJ
89,"Pvta Luna
Neton Vega",61,88.0,16,11087297,Pvta Luna,Neton Vega,198058,False,False,2025-09-26,6pV5zH2LzjOUHaAvENdMMa,33MeEaRCeIQMSRyFTr5ZJU
90,"That’s So True
Gracie Abrams",3,79.0,72,11028253,That’s So True,Gracie Abrams,166300,True,False,2024-10-18,4tuJ0bMpJh08umKkEXKUI5,7ne4VBA60CxGM75vw0EYad
91,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",5,87.0,53,10974470,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",150001,True,False,2025-02-19,5uwa6tAMMfNbBFIHiI6NV4,6iOndD4OFo7GkaDypWQIou
92,"No One Noticed
The Marías",37,66.0,62,10941851,No One Noticed,The Marías,236906,False,False,2024-05-31,2sSGPbdZJkaSE2AbcGOACx,3siwsiaEoU4Kuuc9WKMUy5
